antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'UHT-milk'}),frozenset({'whole milk'}),0.07850179579271421,0.4581836839404823,0.040533606977937404,0.5163398692810458,1.1269276654297404,0.0045653649856881515,1.1202418426635976,0.12222660765132079
frozenset({'beef'}),frozenset({'whole milk'}),0.11954848640328374,0.4581836839404823,0.06413545407901487,0.5364806866952789,1.1708856196742425,0.009360288169249671,1.1689185337209964,0.16576223776223764
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.15879938429964083,0.4581836839404823,0.08542842483324782,0.5379644588045235,1.174123997995539,0.012669137927357993,1.1726723763665787,0.1762970655925825
frozenset({'bottled water'}),frozenset({'whole milk'}),0.21369933299127758,0.4581836839404823,0.11236531554643407,0.5258103241296519,1.1475972247801696,0.014451767900866663,1.1426151677913374,0.16356864585428352
frozenset({'brown bread'}),frozenset({'whole milk'}),0.13596716264751155,0.4581836839404823,0.06977937403796819,0.5132075471698113,1.1200912759618837,0.00748143856119661,1.1130335174866062,0.12408743188486798
frozenset({'butter'}),frozenset({'whole milk'}),0.12647511544381734,0.4581836839404823,0.06618778860954336,0.5233265720081136,1.142176359287585,0.008238954288697337,1.1366614630525202,0.14250133752233943
frozenset({'cake bar'}),frozenset({'whole milk'}),0.022832221652129298,0.4581836839404823,0.012314007183170857,0.5393258426966292,1.1770952602639757,0.0018526557540526102,1.176137856812124,0.15396648289139753
frozenset({'candy'}),frozenset({'whole milk'}),0.053873781426372495,0.4581836839404823,0.029245767060030785,0.5428571428571429,1.1848024316109425,0.004561679418291102,1.1852231913801952,0.16485900216919738
frozenset({'canned beer'}),frozenset({'whole milk'}),0.16521292970754234,0.4581836839404823,0.08722421754746024,0.5279503105590062,1.1522678110632734,0.011526348779458531,1.1477950905997678,0.15829928775443783
frozenset({'canned fish'}),frozenset({'whole milk'}),0.029502308876346844,0.4581836839404823,0.015135967162647512,0.5130434782608696,1.1197331905156045,0.0016184905969329234,1.1126585061936527,0.1101806923928189
frozenset({'canned vegetables'}),frozenset({'whole milk'}),0.02052334530528476,0.4581836839404823,0.011544381734222679,0.5625,1.2276735722284433,0.0021409197754647044,1.2384372938503263,0.18933705837844134
frozenset({'cat food'}),frozenset({'other vegetables'}),0.04386865059004618,0.3766033863519754,0.024114930733709596,0.5497076023391813,1.4596459359115317,0.0075938483668066235,1.3844262458936651,0.32935051293322454
frozenset({'cat food'}),frozenset({'whole milk'}),0.04386865059004618,0.4581836839404823,0.024371472550025655,0.5555555555555556,1.2125171083737714,0.004271572613180483,1.219086711133915,0.18331097397370535
frozenset({'chewing gum'}),frozenset({'whole milk'}),0.044638276038994354,0.4581836839404823,0.025654181631605953,0.574712643678161,1.2543280431452808,0.005201651871307358,1.2740005269507582,0.21223415682062297
frozenset({'chocolate'}),frozenset({'whole milk'}),0.08645459209851206,0.4581836839404823,0.04797331965110313,0.5548961424332345,1.2110779189276304,0.00836123614983516,1.21728065674705,0.19078339768165817
frozenset({'condensed milk'}),frozenset({'other vegetables'}),0.023858388917393534,0.3766033863519754,0.012314007183170857,0.5161290322580645,1.3704843104509097,0.003328857123978013,1.288353001539251,0.2769382391590014
frozenset({'condensed milk'}),frozenset({'whole milk'}),0.023858388917393534,0.4581836839404823,0.013853258081067214,0.5806451612903226,1.2672759455261353,0.002921733554011069,1.2920235229111579,0.21606073879398452
frozenset({'cream cheese '}),frozenset({'whole milk'}),0.08850692662904053,0.4581836839404823,0.04771677783478707,0.5391304347826087,1.176668776474025,0.007164348137643307,1.1756391763555574,0.16472222474419623
frozenset({'curd'}),frozenset({'whole milk'}),0.12083119548486403,0.4581836839404823,0.06362237044638276,0.5265392781316348,1.149188189337689,0.008259488164195188,1.1443743715875914,0.14766277285691426
frozenset({'detergent'}),frozenset({'whole milk'}),0.03258081067213956,0.4581836839404823,0.017444843509492047,0.5354330708661417,1.1685991658657449,0.0025168476499637625,1.166282578636589,0.14913347996318652
frozenset({'dish cleaner'}),frozenset({'whole milk'}),0.018727552591072345,0.4581836839404823,0.010005130836326322,0.5342465753424658,1.166009602847106,0.0014244717989596693,1.1633115021277882,0.14509133567957094
frozenset({'dishes'}),frozenset({'whole milk'}),0.034120061570035914,0.4581836839404823,0.019497178040020522,0.5714285714285714,1.2471604543273076,0.00386392253358539,1.2642380708055414,0.20517928286852583
frozenset({'dog food'}),frozenset({'whole milk'}),0.01718830169317599,0.4581836839404823,0.010005130836326322,0.582089552238806,1.2704283732513246,0.0021297314458665183,1.2964890419995603,0.216586684871728
frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.1331452026680349,0.4581836839404823,0.07029245767060031,0.5279383429672447,1.152241691425711,0.009287498213157955,1.1477659919791416,0.15242059694592844
frozenset({'flour'}),frozenset({'whole milk'}),0.03642893791688045,0.4581836839404823,0.019753719856336584,0.5422535211267606,1.183485008595808,0.0030625748795411814,1.1836602596992543,0.1608992711229134
frozenset({'frozen dessert'}),frozenset({'whole milk'}),0.023088763468445357,0.4581836839404823,0.012057465366854798,0.5222222222222223,1.139766081871345,0.0014785706632520768,1.134034149892014,0.12552521008403364
frozenset({'frozen fish'}),frozenset({'whole milk'}),0.025910723447922012,0.4581836839404823,0.014366341713699333,0.5544554455445545,1.2101160843967935,0.0024944709907673904,1.21607662048914,0.17825162722450053
frozenset({'frozen meals'}),frozenset({'whole milk'}),0.06285274499743458,0.4581836839404823,0.03258081067213956,0.5183673469387755,1.1313526978540576,0.0037827084234432623,1.1249576053778123,0.1238891128206565
frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.10261672652642381,0.4581836839404823,0.05515649050795279,0.5375,1.1731103023516236,0.008139180714162919,1.1714947374259843,0.16443948036751888
frozenset({'grapes'}),frozenset({'whole milk'}),0.05489994869163674,0.4581836839404823,0.028476141611082608,0.5186915887850467,1.1320603656685957,0.0033218808714050273,1.1257154527838524,0.12343124883841504
frozenset({'ham'}),frozenset({'whole milk'}),0.0633658286300667,0.4581836839404823,0.03694202154951257,0.582995951417004,1.2724066173703703,0.007908832751847325,1.299307088026222,0.2285713198819197
frozenset({'hamburger meat'}),frozenset({'whole milk'}),0.08029758850692663,0.4581836839404823,0.045407901487942534,0.5654952076677316,1.234210705200906,0.00861685657430196,1.2469743156369784,0.2063336721587909
frozenset({'hard cheese'}),frozenset({'whole milk'}),0.05336069779374038,0.4581836839404823,0.027706516162134428,0.5192307692307693,1.1332371435954862,0.0032575150693636944,1.126977937403797,0.1241995382916792
frozenset({'herbs'}),frozenset({'whole milk'}),0.039250897896357106,0.4581836839404823,0.02103642893791688,0.5359477124183006,1.1697223869017557,0.0030523079417922525,1.1675760050296649,0.1510241297339541
